user_id,recommended_books
user_2090939,499985|128142|750817|398357|282294|451238|296284|959222|285320|494956
user_4975392,433222|857649|783740|811141|176452|714926|514664|424291|945872|839893
user_3480953,402820|105409|631741|662625|339266|115799|410035|862182|665940|874417
user_9017057,833478|298595|704941|648615|106185|691123|503553|291267|365206|777292
user_0154390,204442|444511|371577|524214|154738|804005|733941|720615|764073|576769
user_7041559,659475|358313|675210|979249|230889|675069|329183|214695|829765|107790
user_9182970,269654|599387|122937|557169|962074|847528|411327|599401|817318|488477
user_9039117,246433|954441|977057|877252|868136|299422|358281|803571|297731|408474
user_2081860,150293|245993|817817|465549|581061|749114|987060|902598|257482|290167
user_9896005,359870|827104|754753|973548|951307|604283|542882|132844|416181|274573
user_9305680,245993|914992|570988|858472|265001|258898|190259|408929|420415|873253
user_0583382,188501|422328|100193|891645|802818|553559|455627|227119|620438|596144
user_0503956,642404|434827|712916|219125|126000|749871|533232|678923|938672|922370
user_9206223,915297|837114|521943|723879|699672|252627|269054|223215|760460|869989
user_6713212,483329|847868|144283|480977|544692|107568|287567|319952|166670|459762
user_0053936,898678|801444|791609|490219|506145|417012|461908|245608|296284|791792
user_2631372,853270|707924|251624|104877|636405|367558|226550|201593|512423|396120
user_1585629,699596|871041|670019|180111|359662|419739|517754|609917|735984|194002
user_1157601,879592|395818|623452|510954|129959|151706|517476|143182|215806|813702
user_4479622,702433|693246|768324|862886|579341|994863|546800|624514|748410|830650
user_5880464,763393|154617|466586|131652|206663|230775|183953|941792|699538|706224
user_2001410,855829|282605|874417|790472|191488|765282|287795|732672|959907|558986
user_4932666,235367|577100|952308|533194|502643|812120|365406|763393|774909|114400
user_2145838,878774|605806|177353|476353|721313|480180|367865|514337|828834|364516
user_4619665,620438|840842|458633|840367|725114|810287|139448|283781|414295|842563
user_8917735,451199|249623|266140|449663|399214|621718|284731|817817|157196|460857
user_5753156,244775|821411|842563|170537|150075|597667|579142|129336|748696|237509
user_9310705,977885|438354|903533|217683|237606|187295|551730|759172|802173|101467
user_5733170,704349|598355|381880|644973|430096|265358|747983|625021|900808|126596
user_8041854,644107|959222|306879|210338|391897|932978|461838|609917|704941|409012
user_0747523,140230|742198|408137|294655|830139|571955|471890|663858|398301|648706
user_3139707,378727|658271|958837|905625|509376|627835|571351|988268|775268|222621
user_0235388,946699|318877|345196|594078|940215|704349|216211|538065|444412|761732
user_9193773,730520|451383|783200|353542|338475|138258|524533|351366|490219|539673
user_4353190,819517|963617|162549|345076|877548|997729|871667|361824|541467|547180
user_5702769,191488|648171|855829|339266|874417|881828|628216|917230|818240|828221
user_1435817,225829|732672|299080|802818|426087|369232|265856|279938|417003|898100
user_3579385,958914|785684|820738|631302|797298|400748|703945|555401|940257|686252
user_2898938,408474|935471|283781|774588|742865|389362|113406|488368|726111|990374
user_3664354,304189|774865|451199|417991|470711|458660|388584|454123|761732|382400
user_7986960,937886|788530|976002|875282|589199|835395|860583|938970|259338|477702
user_3085736,464211|113851|549192|498757|227980|493774|558001|284267|449718|117094
user_3349380,978012|223215|820738|229077|677723|423047|939756|228074|398477|133164
user_7773277,367946|161132|810083|748985|297569|260947|533021|856445|236412|248468
user_1871043,936997|927769|721549|274195|582752|578364|508892|355177|966621|322162
user_2359397,156964|753205|642404|106945|515287|372871|846176|686448|852485|156700
user_6535504,488918|881782|282055|191488|262240|381880|977634|162549|802818|268870
user_6122543,898100|149246|790130|590795|732958|956721|146307|169966|501557|756649
user_2330442,236014|451383|398090|188501|986340|978116|957115|481377|605065|169966
user_6834451,168079|913432|320449|240727|550405|386939|327808|982478|832497|409967
user_3278638,611984|965837|807835|678381|679989|264458|655378|484880|432731|361829
user_6896393,514337|416298|386525|664032|154022|187336|490219|252928|801279|622864
user_1788115,297731|737363|599988|836727|650579|644973|690408|542514|314300|957626
user_5562151,262602|575637|354276|718265|347879|790130|538738|610622|350629|320759
user_7792102,870267|338475|664032|312616|730520|353569|820724|985517|835473|640472
user_1977525,626570|572445|127470|784219|924047|806682|350875|465549|524778|623376
user_7505307,747983|756895|598355|693083|748410|998602|591507|769883|581592|141956
user_5442781,902156|625465|966621|633891|938672|283027|342924|336858|567541|728204
user_8843072,398433|410158|449663|147828|308936|272769|301019|622332|451199|815337
user_4249526,476485|335455|997935|684572|957626|949330|852715|836727|531077|623147
user_8236269,716204|359662|947607|677759|203428|550955|373132|722871|347864|333365
user_0208598,324505|785010|579975|143802|217369|575279|579114|712018|472856|255067
user_0653951,285460|320032|587222|480320|328994|883349|754974|385647|428403|904829
user_7409104,855829|144283|191488|573066|176604|774734|200488|952646|960307|488196
user_3974337,615530|821403|264660|128142|980130|214582|959868|843544|256465|260155
user_2949448,809298|216211|940946|415201|834928|991913|472751|381880|644973|701056
user_1891628,745952|826061|907889|350629|952188|178516|955244|389511|554153|876696
user_5893809,924974|699180|940014|478707|214419|335455|378727|568640|960085|747983
user_9173432,931420|983687|427162|775885|603518|851589|414021|563031|176806|500314
user_3688328,799459|927061|592331|490941|857703|859587|943797|799631|420415|468488
user_4621625,219125|900011|499985|298595|434827|301898|672233|833478|912767|557169
user_0273774,773618|584887|381880|730134|994199|830650|975512|748410|144008|558245
user_9194870,818651|717429|207392|457999|365406|912767|838315|961957|326037|242514
user_4719380,828834|399803|809298|282012|828531|360380|878774|503519|820013|103225
user_2328592,263306|769646|239995|506145|305611|318337|115997|455193|351366|362874
user_8959013,948083|356902|377950|951266|728635|357201|861830|362867|395536|881931
user_1757985,351366|506145|176697|976097|217683|680130|180567|364516|754227|463541
user_7603933,649435|222227|487896|758501|234475|223928|259540|834815|299080|267666
user_4872953,156413|844033|728258|500944|315098|587957|873584|898395|907069|943356
user_8209929,870267|731264|373791|138801|154127|372871|877548|252627|136183|481377
user_5357292,422328|655837|441974|872663|374025|905942|743863|460987|861200|929912
user_5422252,369670|608763|517476|299422|568640|285197|627835|901215|723155|230485
user_2730129,704941|644107|648615|737363|645027|747743|922378|257517|106185|732294
user_5444743,897477|875758|126008|915437|623866|157474|877407|202046|171789|272525
user_5374448,570988|431727|420415|871043|258898|191549|354471|858472|872303|830565
user_2128659,161343|818651|641380|242514|873199|615138|165442|550405|832497|320449
user_1305440,395192|715517|631297|602381|622332|236014|785672|681866|714646|646833
user_9899095,660625|133362|217369|671194|621292|684791|404771|436467|500661|420523
user_5469467,855829|558986|335391|874417|610102|591190|422328|586097|469737|496065
user_5559599,232101|616777|143122|229660|359520|240386|665484|394976|747756|879241
user_7774248,160200|202046|776748|756895|395307|249623|323839|288783|769883|308757
user_9540001,477392|514337|617555|975365|532699|664032|154022|494025|749785|298595
user_9534938,875758|897097|242350|236659|774865|185321|241081|624966|659699|347678
user_1944687,900527|350875|524778|883349|103225|279098|983533|625986|913166|651400
user_5898057,925663|635348|568640|316173|693246|116817|599676|604544|733561|656011
user_9557179,204442|981336|223047|281493|408474|917919|963652|736333|823468|170997
user_8703132,282055|806682|224921|870267|754227|127470|920827|230809|138801|820724
user_2498776,177591|633036|547107|298994|571351|718010|200713|113950|285197|528902
user_4959162,640472|358830|720615|926471|351366|510087|333726|675111|820724|828834
user_4561188,330545|375568|188876|940089|900527|659381|213119|791274|820013|113851
user_6103224,486559|748758|663463|632151|376502|231671|194693|415001|431773|122937
user_4103464,389939|573546|226460|799731|243057|419491|242350|282605|898100|486482
user_4518312,168815|680822|197716|720615|108887|791505|370196|764073|405831|607308
user_0998680,143122|147057|214582|824061|804378|527082|723155|777844|925198|419626
user_3178354,826061|972128|202137|455627|977634|564531|279938|567604|525051|600121
user_7634126,113406|491835|216211|381880|139448|654640|706204|620438|117438|221343
user_0852100,797385|746288|982442|428403|873774|335455|412534|365045|639031|524206
user_7838890,123205|229077|223215|755106|915297|955129|596894|142027|651001|493914
user_8973566,408261|611185|147976|786141|201836|468710|766564|909327|817923|264458
user_6733013,608768|173378|224269|376002|872714|740140|899484|801534|785592|949296
user_4417786,725114|236078|722180|402143|204574|620438|139589|951331|810287|744755
user_3100470,331087|234475|735984|180176|600241|210338|896041|734155|591223|960109
user_4743798,937965|870267|572623|659399|422679|353569|622112|127521|900530|130531
user_9830934,893454|405831|104539|460857|457259|470711|720615|979037|559392|565521
user_7520282,228074|465511|521943|524533|542244|555401|105466|959222|530321|699405
user_2779407,338633|694806|269654|773693|602381|646833|144283|274573|740195|855829
user_7472153,864305|559392|527082|650818|391897|737363|644107|346668|597484|790677
user_8952357,865847|539673|994199|702433|166007|963829|196789|255950|228216|194840
user_8344785,857830|998435|475565|791281|350875|904829|852485|398090|983687|513959
user_0281856,499985|694806|726205|826061|529350|161343|872739|835325|955932|320449
user_8757863,978721|704570|596580|861200|725510|134455|584887|977634|582992|784578
user_6822252,828834|720615|367865|146038|371577|566843|862057|754128|572788|878774
user_6755254,441919|790130|169966|949363|552762|596144|890795|271252|648273|550977
user_8932879,785010|289592|499985|340633|952624|511484|430779|393212|145939|910926
user_8371984,730520|296284|351366|685934|451383|801444|539673|398433|353542|640472
user_6799620,598820|812120|902156|262240|936917|346019|513959|770864|216211|869933
user_8125938,514664|460987|747288|881782|863933|384261|701056|592796|642383|788530
user_1125177,945522|208711|935946|715517|319162|106131|527376|193776|754319|709231
user_4007180,242371|247388|330787|430779|726205|732672|310040|849579|118506|764323
user_5940795,479167|165431|213284|338475|522210|139609|666176|187889|547861|598969
user_5060560,235073|269054|359414|713513|214119|382234|119506|290719|699672|590106
user_7328870,846794|172103|693616|596580|191962|161132|402380|523533|725510|924566
user_4056722,404969|933790|557169|615346|709291|122937|365206|773693|431192|430779
user_3486730,499985|726205|360316|682032|872739|240727|179721|247388|308205|122937
user_8767919,665940|802818|760016|213666|477808|662625|684080|529526|460265|704677
user_6345737,932046|157217|644973|307639|790229|416181|284630|765282|444412|860585
user_6185343,605806|122755|311184|495900|580255|222930|372427|457356|463470|871501
user_0832709,905967|898134|986340|895891|269087|475565|931219|740140|824619|398090
user_2935705,471754|223025|288627|785010|112563|736877|961198|397158|871153|967823
user_1282667,257246|445217|285488|489438|580067|481104|165896|629818|122876|828361
user_2602445,790881|312987|875758|261395|825835|707615|257482|150293|393768|818534
user_7761379,367865|917919|906479|938672|593869|507341|622807|718697|720615|481237
user_5304983,951211|180234|835236|988075|396177|170537|719284|258284|855829|989735
user_8575178,737363|650579|838024|261638|152042|638354|568957|616596|438083|878427
user_6421662,587546|863481|812591|230082|535872|440669|491330|503489|575301|193964
user_5762227,169966|345076|769078|236523|298837|605065|721285|553559|523618|596144
user_6342493,704349|997935|535320|769102|781180|861485|517476|977904|596771|900808
user_5014825,335455|502643|672549|156413|697978|761286|296284|206773|642892|263917
user_7472570,803904|283514|970969|695807|894586|249809|480977|829578|560698|458772
user_7265043,187336|416298|188860|311500|870267|583507|186558|634160|275044|886372
user_9263468,754227|366776|830549|374725|833599|218370|645865|532993|891203|103468
user_0545812,499985|477392|232250|791646|828834|358830|842136|670871|239260|659399
user_7482240,347428|194930|733952|256574|187546|434168|877548|156700|166595|388078
user_7455817,281708|686179|328732|202046|671559|288783|446922|320034|308757|841947
user_8872477,387096|699180|769900|655552|924974|478707|568640|298595|966662|487728
user_4699947,841870|677883|999595|362779|715698|326172|665940|628216|662625|213666
user_9916832,173384|781880|358830|577092|358207|179721|780130|927899|233056|933790
user_4115277,779564|451238|988268|627835|262520|313660|699716|412843|297731|531225
user_2912970,920114|611185|524778|246770|439658|436467|733729|898461|996915|987060
user_0945187,933071|901677|570267|390088|545901|482755|949352|411897|276324|488131
user_3679761,307639|402483|929912|157217|769795|569237|168637|705561|593578|382956
user_1995525,693616|943816|521598|302299|582992|151295|743644|846794|592640|238599
user_5563078,752801|174589|321634|841870|481540|872714|860541|951649|496065|362779
user_5215827,508881|871501|222930|317877|160254|869295|629152|206773|280572|420863
user_4579765,415201|256574|191876|495796|422679|940946|755669|390683|484880|612743
user_4232414,123107|328596|762288|477392|252117|464032|763874|937886|250255|689280
user_3027695,741185|399803|282012|806682|726495|453729|937798|224921|114800|553065
user_2531681,719489|624112|901865|589762|258284|946699|765282|256826|827104|582559
user_0629612,615346|382146|320449|297296|557169|803904|643471|165442|550405|698087
user_4920953,916470|762985|542563|657487|156413|642892|512509|183985|514306|812930
user_0560882,785672|626883|593869|379133|975365|877444|333726|338475|729858|876487
user_1313431,229077|871185|530321|245131|959222|525146|546772|527070|927251|500661
user_2914587,574379|729557|599676|739705|166240|742349|962458|956721|258442|716735
user_6566140,951211|330189|145209|715517|694806|180234|602381|636270|701581|655953
user_4019347,612081|916656|682145|459279|546768|549112|372387|667036|740140|496583
user_6815107,181961|879233|528705|670873|456329|285006|226215|952308|111258|409499
user_0114566,583671|516814|949330|525392|476485|350067|437260|442360|986041|623502
user_6864447,282055|642383|870267|312616|439113|268870|686120|131167|447362|900530
user_4848508,353542|123107|801444|908382|291542|968034|689280|533108|500560|620518
user_5740915,313660|897846|906389|158760|918910|418667|318572|500944|627778|351338
user_6628322,416298|754227|985517|312616|877548|304394|484264|791609|870267|224921
user_0645847,236014|895262|867180|219125|631297|357912|188498|681866|283027|222520
user_9337328,285197|159191|848344|616780|369670|567423|115267|335455|642892|156413
user_1143538,359870|145209|433396|309160|731024|145939|177149|821347|132844|270753
user_8744400,320759|431023|751034|164468|444622|875369|171950|731124|790130|555193
user_0418163,252117|572788|428096|477392|774734|328596|189261|832697|236708|234475
user_9715122,814956|735984|455627|785836|860206|564531|202110|517754|856601|874368
user_4933313,828980|314300|862627|769102|838344|503575|873584|427679|156413|607259
user_9900376,788530|863933|534152|779658|195136|579142|315378|583507|553360|726111
user_6962790,630734|665482|216683|599988|749609|905843|993415|197102|746781|860585
user_9626285,665389|580115|862182|191488|347428|268870|416115|745919|877548|737600
user_9713982,128142|361829|973073|738996|438947|326037|772758|563518|481377|915297
user_3329394,910749|775960|728958|118397|625021|645205|757233|430096|817611|387347
user_1204101,365045|299422|214419|655552|260751|143122|646012|504051|478707|988268
user_8960617,264458|145452|659399|439113|134007|870267|284055|913712|616935|629837
user_0595488,877548|347428|484264|950389|416298|809283|566740|760047|870267|731264
user_9314009,264458|451383|730520|280572|935946|187336|871464|317877|607938|326183
user_5813822,398090|188501|725510|201836|802818|916558|508091|822494|875758|721082
user_7187299,952353|689795|242703|152384|972460|567080|387210|167193|357874|412434
user_5503555,967182|946699|621800|594078|960365|664353|984274|609713|765282|846722
user_4702944,622332|562965|398433|232126|591534|622807|419987|240101|964446|316173
user_3256216,317402|699166|730520|353542|489227|591989|622864|237606|817555|110151
user_1894050,968034|938970|704422|384111|131208|547818|250255|416298|176697|304394
user_3981148,269257|742198|791354|884588|907528|203919|945989|980764|255130|504186
user_0997678,164022|899301|889470|507374|689280|633392|202093|708455|215830|804737
user_3734408,463470|860247|480180|705445|786837|840951|697978|642892|699166|119570
user_1142040,733952|559713|468145|187546|244192|791354|915297|263903|542244|293007
user_4263664,799155|943058|509260|639926|591644|743644|362285|384685|394450|151295
user_5115492,509203|571213|660957|250331|606773|139589|315378|840367|774588|609845
user_0712989,704570|508091|978721|109634|465549|994199|439658|689795|596580|478799
user_8078199,264458|439113|637549|198867|886372|284055|504186|913594|416115|957525
user_6910412,838315|635348|565540|316173|372144|834750|343904|265860|405654|544579
user_6435042,520286|452139|784578|412434|335122|783740|811141|833842|766566|861200
user_4776938,334410|525051|972128|387021|821411|614290|433799|476695|283781|213974
user_2691099,544198|819517|967442|809283|802818|554871|237529|275044|263903|625808
user_1103889,943349|414070|409012|203479|113026|745710|871041|301831|544726|683071
user_4701452,280172|245131|940257|113026|639764|601602|958914|260639|602790|285846
user_8364659,624514|381880|216211|645205|531077|482812|288274|512900|598355|598820
user_8786394,154022|727354|311811|704422|801279|514337|577461|491979|514254|515912
user_5252456,243910|911763|806682|115997|873291|835473|828531|920827|127470|784219
user_9800376,552816|223928|188501|262555|186226|916368|240384|844715|956639|648051
user_4640112,830650|538539|806007|546800|994863|468075|324682|503310|337730|992865
user_2520623,701755|285846|123107|684195|371222|848225|109958|868691|353542|689280
user_6012040,732490|156413|757776|500944|642892|495900|747756|512509|902245|343377
user_2733779,532699|730520|317402|445281|431976|759172|903506|783200|664032|352603
user_3711837,988843|884447|609845|792984|874417|308405|679577|261395|301908|288128
user_9480563,642827|624112|444622|256826|901865|721313|880550|965339|558339|732789
user_8996948,899484|871464|451383|468710|526640|500314|302458|495007|607938|326183
user_6455204,769836|767782|356822|279581|870267|966384|985517|487585|872303|927477
user_8728425,655552|870269|935750|303846|936782|646012|642892|567423|285197|842136
user_5668506,951649|481540|659835|496065|752801|917230|129824|841870|881828|828252
user_0502263,625021|773618|591507|417329|231319|182289|531077|351742|548509|391636
user_1143744,991090|693246|354085|502704|446297|862886|268132|232126|898100|149246
user_3677664,929026|358830|318877|827044|748758|578148|465511|716204|975365|758501
user_6169068,966621|366776|446297|917919|194604|734555|289340|952308|693246|351366
user_5509492,917919|446297|338475|640472|803176|113406|711033|966621|567541|138801
user_3547378,457259|494659|828834|587222|104539|456160|127470|414477|904829|325258
user_5832735,897392|869177|660957|644918|389362|889660|881996|105409|393768|875758
user_3891055,446569|527433|999876|347625|389362|549793|601111|961304|875758|357201
user_7048143,111846|389362|839919|947607|865263|527433|415535|999876|846030|834498
user_8556884,970699|748680|675111|425226|496119|795650|723789|757667|692099|166052
user_9518966,786341|879241|232101|893454|521556|160289|255840|445234|104539|642404
user_7402867,878774|204442|669902|366776|840951|444511|786837|456160|367865|720615
user_7963435,188860|121722|429748|565553|387198|264458|181511|612081|807835|644022
user_0463909,617459|706204|492491|773618|393724|966662|645205|545668|975512|538065
user_8306567,774734|365206|817318|615346|115440|233882|646833|403524|955932|632151
user_1678354,642892|285197|842136|332873|753756|309341|567423|921110|156413|300070
user_9452471,566991|616780|608763|279098|289276|550405|842136|457915|285197|718010
user_9936892,480983|986142|415697|378727|139569|606346|497201|703869|210592|299422
user_9438338,236014|345011|315289|485600|912767|739705|838315|548544|826515|567604
user_2127619,503752|111755|279098|731124|525556|289276|661091|454233|435772|566991
user_8180089,114800|741185|338475|100205|353542|351366|699166|820724|189211|968034
user_1662466,308405|213054|648779|624970|235410|864118|591190|316800|839389|558986
user_2929787,644107|291663|318877|559392|748758|864305|790677|486559|638354|358830
user_8081674,331087|651752|157217|379901|310960|854727|719014|487272|845175|599028
user_3830171,103234|626725|276919|319984|933853|817953|589554|130897|920755|982600
user_7748801,665389|580115|745919|288128|899195|944654|862182|704875|206900|285679
user_4589907,620039|889565|776456|338804|884639|344181|907483|200979|567646|164468
user_5385064,463470|676558|835236|638637|373094|428403|800015|447617|495900|679989
user_8826280,244192|861593|285320|521598|905812|161775|887029|748985|630647|546768
user_7286710,716813|193982|527376|319162|196789|923655|251857|542882|715517|945522
user_4133189,776703|320032|754974|412534|587222|110043|400780|223047|125225|690525
user_8239317,938672|149840|144413|476353|603088|933071|509573|126604|302458|468710
user_9074530,373943|165014|115799|476215|535457|533843|206900|186993|205149|609529
user_4251262,204574|897435|726612|885290|733561|538382|609530|844144|497859|563999
user_3525258,765117|495397|365953|997531|238364|191305|534052|153190|619647|373276
user_3083444,559392|782524|737363|458660|864305|844321|470711|775738|790677|454123
user_5450795,842136|299422|367747|665484|901215|723155|734229|461838|109818|143122
user_2096075,243928|870269|567423|838344|924974|713654|303846|298994|378293|742917
user_0676610,784219|113083|829937|651400|846794|204271|331069|785572|913166|172103
user_3618381,264458|577595|386606|837468|429748|767044|105547|501779|299092|888931
user_5208121,572445|227119|188501|977634|749785|994376|335496|315289|472566|914316
user_4350968,993916|687019|622605|560163|838908|737967|254850|180234|754753|929029
user_8614840,360610|412434|967182|987060|137728|444511|575637|279098|943816|849361
user_3460000,616428|107482|656011|563385|970542|268356|968100|119629|539673|309580
user_6094238,737363|288783|721497|832356|882351|146372|874417|638354|862182|152042
user_0412798,626251|802818|570267|996398|977634|265146|324682|503310|258522|668787
user_4037972,816712|155708|666893|408545|422998|611174|227950|781301|855562|273650
user_3493096,570988|871043|234041|542882|354471|515131|885290|871153|319162|660046
user_6387461,477392|790897|308205|611187|877444|328387|402808|154022|293020|370439
user_3916079,460857|748680|248548|470711|451199|535047|144748|169268|261638|757658
user_9694794,740195|714926|790897|624112|929303|256826|946699|275645|382089|366526
user_4508416,721497|747288|881931|152042|970699|342397|578720|666931|272525|261638
user_8381238,227706|272011|213079|211222|982442|954441|315120|879592|686273|369670
user_7079003,381880|216211|211504|834928|604550|644973|330545|991913|423050|917319
user_3525722,807901|861485|175532|428096|537503|313154|369670|517476|315098|333159
user_1988049,269316|166052|255141|351198|882351|812449|974767|263690|970699|434652
user_0572666,441244|960109|897477|331087|896041|373342|169268|616596|144748|535047
user_8677431,739705|454233|682316|194604|920827|977135|382967|754227|570267|829937
user_1623657,554894|211532|987187|419723|839122|852146|605065|721285|225805|717322
user_9938917,898963|299684|830532|176697|830549|983855|845859|681078|891203|586173
user_8446908,296284|138766|173504|206773|112542|966621|693595|936997|697978|954100
user_2187485,570267|565420|243057|687565|898100|414861|598355|561859|930958|312987
user_5276358,215482|477496|297731|296284|805893|580255|697978|747288|397027|601515
user_3942925,354471|557318|453777|340341|319162|835363|429839|712686|733561|253999
user_4531381,171108|379005|980919|665307|892682|908447|943816|433412|278593|105066
user_7032434,646699|226670|207348|768595|417329|812597|759531|184643|335455|378527
user_0666268,198242|784167|976042|591431|638051|905305|663492|600931|775699|970860
user_3187054,112098|560295|132844|827104|606592|391897|210338|832045|579975|280172
user_5595559,873758|846794|739705|920827|878774|977135|418706|550908|669902|351366
user_6094611,686252|338475|640472|881782|693246|564276|730520|664032|564053|381880
user_1907621,128117|106429|831396|556957|824061|380448|643341|873584|773071|542166
user_1753571,548217|100569|433193|787614|878399|361824|489523|595495|896573|406461
user_6407436,419987|895262|776748|644861|769883|513959|831531|539673|508892|799631
user_8799093,568640|577100|299422|763393|250331|365406|642892|229660|297731|502643
user_7460503,353524|728635|877301|666931|881931|357201|455488|565798|141956|323839
user_0773593,477685|998435|615576|262240|101655|901676|869933|802615|600931|608768
user_3802135,198045|620509|167077|826959|598355|583100|184120|620518|985049|767349
user_1293201,510087|434652|154022|777693|201593|748216|730520|673713|191061|218370
user_2617464,642892|321634|156413|568640|317877|924974|943797|812930|361728|899897
user_4223720,644107|461838|333159|842136|517476|627835|214626|168187|303846|409012
user_1084716,292847|122937|245357|404969|540586|769068|448967|817318|206440|557169
user_0441144,653545|754753|965339|765282|197102|737692|278688|112563|989735|289592
user_1840226,597549|576749|117058|421440|448475|113457|760016|672549|665940|695807
user_7794482,497201|802818|162549|900530|169966|232981|475565|127521|754280|399212
user_9219688,193190|288128|623354|665389|988075|591190|924154|230117|288531|558986
user_0706150,977634|731124|664781|802818|314178|188501|996398|844715|484546|871754
user_8785963,615346|238635|704941|672233|645027|557169|122937|659921|910926|568640
user_9068625,269695|242079|523618|715429|786315|282605|763653|905671|847385|731124
user_3089201,678381|422679|861593|347428|187546|256574|156700|484880|416115|497201
user_0006198,451238|988268|178516|652329|392047|336588|687234|822303|126885|422266
user_6850315,336388|350164|137812|990586|725510|703080|639231|853367|360804|594392
user_0320233,390849|143802|868691|821403|737967|276919|707913|799686|558339|463470
user_3627370,559876|415535|871153|525051|660046|882692|525392|539673|389362|542882
user_8813763,533108|500560|689280|381880|596912|881931|305611|835236|697978|822049
user_7608782,334677|455465|234475|442645|299080|403300|265890|320034|756895|242350
user_5714026,227630|626560|303586|760717|192059|901865|188776|745197|188374|140932
user_7035128,320449|785584|168079|382146|873199|193964|578344|862398|838315|703646
user_5169760,154738|444511|791646|701344|232250|781298|572788|463625|878774|804005
user_2691995,791890|251981|343461|861566|849649|728471|147976|330374|121722|760150
user_1763976,278688|967182|290167|489967|785010|471754|604283|776748|630155|989735
user_1163742,930489|140712|185321|770685|846802|742818|446292|955697|417991|869460
user_8225025,290272|723789|297062|473395|212255|771394|362285|841635|514337|532699
user_6872248,185678|744755|502704|732672|877548|215485|232126|966985|198867|749609
user_3060823,351366|384645|891203|682316|570267|351696|176697|116817|599676|732672
user_7970390,882351|721497|152042|691021|384261|279517|954222|516760|568957|228643
user_6437807,869983|238364|889013|941272|648055|470040|654552|862427|257482|211871
user_6204875,390849|215830|518582|817555|164022|938297|154022|975505|689280|640028
user_1072812,727320|877252|357657|616777|633891|169327|393768|111846|920011|456329
user_0672238,129336|402143|842563|272830|251030|400780|821411|295984|265416|113406
user_4382424,400487|688285|875959|848225|383031|469320|302019|111230|768387|637555
user_6079151,950701|651001|643341|895262|361728|916470|544407|645027|321634|680684
user_3354038,907528|931219|429748|269257|807835|740140|564077|571955|563518|973073
user_2819916,959907|802818|749609|624966|869584|444412|544198|180176|819517|997343
user_4571688,978721|412434|360610|368422|268546|689795|109634|137728|335122|889013
user_8363445,621800|604283|989735|537605|799686|344119|791890|484945|602472|278688
user_5174159,175548|631297|515131|361728|428881|810638|721894|193296|211532|920664
user_5032157,642892|285197|842136|901215|732294|747756|658596|657487|665484|369670
user_4977559,514563|349505|219879|238327|282155|652005|933511|175124|980103|277795
user_5282277,228950|137042|854727|645027|478162|144235|818894|138766|559094|961493
user_0446372,639915|882351|764563|309668|152042|721497|519758|261638|519852|279517
user_1662512,581592|283305|349185|288678|226842|941325|900808|102565|868881|189913
user_3429077,763393|958794|963652|539507|500016|695503|128142|365406|265092|568640
user_5727706,645027|573639|122755|176806|901676|869933|615959|500314|171656|280572
user_8961018,694229|718697|906479|378711|180959|681866|586758|820216|500314|943816
user_2644719,568640|230485|528902|394976|115267|369670|427679|400487|378727|633036
